credit_card_number,ipv4           ,state
30287712902714    ,172.24.78.201  ,VT
584880391605      ,10.44.251.132  ,LA
2224347310521845  ,192.168.181.110,NH
60403369345       ,172.16.21.233  ,KS
574989052455      ,172.16.135.207 ,CA
2229458343993987  ,192.168.130.206,DE
30202407776729    ,192.168.231.35 ,DC
676304353060      ,192.168.247.147,MT
2226191201250363  ,10.186.151.78  ,TX
630409640350      ,192.168.166.202,VT
2227411664528488  ,172.24.10.42   ,NM
2228302264262017  ,192.168.120.70 ,MN
5317489789799980  ,172.31.2.52    ,OR
5339562011576907  ,172.21.199.238 ,AR
30355492307477    ,192.168.109.249,CA
676165978872      ,10.175.197.58  ,DE
577419969974      ,10.51.73.120   ,NM
565211270915      ,172.26.59.135  ,WY
60481588550       ,192.168.49.244 ,ND
30271196932538    ,10.152.156.44  ,WY
2224963516642829  ,192.168.141.13 ,OK
30352723946892    ,192.168.91.97  ,CT
630432290975      ,192.168.44.254 ,VT
571860698695      ,192.168.212.159,ID
579459788553      ,10.117.59.110  ,MI
30398262222385    ,172.23.161.51  ,NV
30306460722858    ,192.168.60.197 ,IL
639003148082      ,10.221.241.242 ,ME
676324137659      ,172.28.247.14  ,UT
2222156446169417  ,172.20.224.68  ,MS
5315348836528416  ,192.168.76.23  ,IL
30351218159474    ,10.73.115.149  ,TN
5346839060502328  ,192.168.146.230,AR
2223046590735072  ,10.211.210.38  ,AZ
584885133069      ,10.194.92.103  ,SC
30361826808685    ,192.168.44.207 ,ID
30227685493713    ,10.151.244.56  ,AR
5327074979426566  ,10.42.33.205   ,SD
60410661999       ,172.20.82.17   ,LA
30347051709128    ,192.168.132.209,WY
30319861377933    ,172.21.154.90  ,MD
630432006942      ,172.25.205.63  ,NE
5316150225632489  ,192.168.118.206,MI
5337832721749058  ,192.168.40.206 ,WI
571732487459      ,10.205.245.174 ,WA
630472416993      ,192.168.160.41 ,IA
589759412754      ,10.110.176.253 ,CT
675999687766      ,192.168.157.239,LA
675982746215      ,172.17.48.244  ,MN
2225577914886272  ,10.50.211.27   ,NC
5363945091883724  ,192.168.49.98  ,SC
581885040237      ,10.125.87.145  ,IA
5303954142618280  ,192.168.124.190,CT
570855070522      ,10.122.42.62   ,DE
5385094945371836  ,172.30.64.4    ,UT
2225225644613745  ,172.16.167.170 ,CA
676371750420      ,192.168.9.234  ,NE
676305921378      ,172.26.214.181 ,WA
676388944099      ,10.105.168.231 ,HI
630423948573      ,172.26.80.117  ,VA
2223537604640852  ,192.168.188.168,CO
2229308874414780  ,192.168.41.114 ,DE
639017360749      ,192.168.6.15   ,NH
575359983187      ,10.42.53.53    ,WY
676203506289      ,10.249.139.106 ,NV
676354841741      ,172.17.217.244 ,WA
5310563153244737  ,10.30.148.208  ,AR
30276552422255    ,172.27.221.107 ,TN
30301794998696    ,10.180.232.247 ,NM
60440610560       ,192.168.34.142 ,MT
5321957778251712  ,172.22.131.38  ,HI
676194160393      ,172.21.18.132  ,KY
574638299309      ,172.19.110.6   ,VT
639031494961      ,192.168.156.16 ,MT
570797862614      ,192.168.202.47 ,MT
5398097374641731  ,192.168.155.120,KY
30269082810636    ,192.168.83.59  ,PA
676250447841      ,10.217.16.89   ,AZ
30204969317751    ,192.168.203.181,SC
630404735106      ,192.168.38.148 ,MD
630400438200      ,10.96.220.29   ,KS
676383269443      ,10.110.215.126 ,IL
2226365385864112  ,192.168.43.64  ,UT
584139662129      ,172.26.80.69   ,ID
577110631980      ,172.18.71.243  ,VT
5315904388138150  ,172.17.135.255 ,DE
676112638496      ,192.168.182.160,NE
5343144595611808  ,10.250.198.64  ,MA
2223100819884938  ,10.121.193.56  ,AZ
2228117776776100  ,10.2.157.75    ,GA
5377528090267802  ,172.25.54.93   ,WA
30215078073705    ,172.25.72.71   ,RI
571952819357      ,172.18.62.96   ,AZ
583027637318      ,192.168.176.64 ,MA
676113457268      ,10.27.160.172  ,AK
5351477996878348  ,172.17.201.229 ,LA
30253875393232    ,172.24.181.227 ,OR
2221386536335922  ,10.43.182.66   ,ND
676383747851      ,172.16.201.10  ,NV
560445689147      ,192.168.123.94 ,WV
5303716441000860  ,172.22.186.28  ,MI
630496968201      ,192.168.5.235  ,DC
30288187606673    ,192.168.214.182,OR
5361697785679338  ,192.168.8.90   ,KS
30389044623594    ,192.168.96.78  ,TN
30315809838465    ,192.168.230.47 ,MI
30259533542177    ,192.168.29.79  ,NV
676242039847      ,10.74.78.110   ,VA
5395910061826667  ,192.168.196.185,ID
60489972723       ,172.18.86.203  ,NM
30347116048306    ,192.168.42.73  ,VT
676289546779      ,192.168.204.173,HI
639082971172      ,192.168.15.189 ,DC
676391905459      ,192.168.33.236 ,AZ
564938207870      ,10.231.151.37  ,LA
675922586887      ,10.219.100.156 ,TN
574149839205      ,10.76.235.221  ,OH
676194571706      ,192.168.104.169,GA
676390255732      ,192.168.188.27 ,PA
676105253840      ,172.25.48.53   ,AR
565135613240      ,10.86.74.91    ,AR
569999201100      ,172.19.117.126 ,MA
630400793323      ,192.168.79.137 ,ND
676294620254      ,172.22.179.182 ,AR
676196289836      ,10.255.191.0   ,OR
30216369224544    ,192.168.182.137,WY
676222972215      ,172.29.42.165  ,CA
60421744354       ,10.4.83.97     ,IA
2221244343126820  ,172.20.171.107 ,HI
639037527855      ,10.59.79.88    ,WA
675911408648      ,172.29.88.130  ,WY
588167877160      ,192.168.31.191 ,NV
5360893715659026  ,172.20.229.99  ,ME
5307060332523979  ,192.168.195.241,RI
630452087327      ,10.232.38.43   ,UT
2227367839753718  ,192.168.85.95  ,DE
676241581575      ,10.112.81.139  ,WI
563007485995      ,10.173.255.156 ,ID
676380689775      ,172.24.165.183 ,MS
30319893593408    ,172.21.255.38  ,NM
582614210216      ,10.196.242.229 ,KS
60400741223       ,192.168.10.209 ,KS
676390993167      ,192.168.182.197,MT
5334243037493923  ,192.168.26.31  ,OH
630495815023      ,192.168.154.59 ,SD
30223997770245    ,192.168.205.126,AK
60429601416       ,172.31.77.96   ,KY
676376533540      ,192.168.224.240,UT
639062057935      ,172.20.75.221  ,KY
5327675174636849  ,192.168.234.199,TX
639053372186      ,172.22.11.182  ,DC
30371534093777    ,192.168.52.159 ,RI
5395713523979052  ,192.168.6.41   ,WI
639007323020      ,192.168.139.39 ,CT
576786379007      ,10.182.152.146 ,FL
676141880762      ,172.21.179.181 ,ID
30344249093986    ,192.168.237.170,OR
676177086284      ,192.168.128.63 ,CO
30224059265355    ,172.27.219.34  ,NE
60442525576       ,172.28.185.150 ,NC
2223069954044212  ,10.174.9.129   ,AR
5389188938328419  ,172.18.252.216 ,MN
585323967430      ,10.88.111.40   ,GA
639098541845      ,10.237.149.228 ,WA
676315495447      ,192.168.66.69  ,ID
676352972472      ,192.168.193.136,AR
30294451708351    ,172.30.225.154 ,IL
5385732435871639  ,172.19.242.164 ,WV
2221754278118998  ,172.26.87.68   ,NH
5317681916994654  ,172.18.252.62  ,HI
676115719285      ,172.21.122.123 ,OR
30275247511415    ,192.168.83.58  ,ND
60459453118       ,172.29.243.170 ,RI
639050735633      ,192.168.240.56 ,RI
569140408158      ,172.18.72.94   ,MS
563049924647      ,172.19.233.209 ,MS
30388780987734    ,10.120.183.251 ,NH
639016025426      ,172.23.203.160 ,IN
30343698686134    ,10.23.63.178   ,NJ
2223579250432549  ,172.23.95.156  ,OK
5386437483450323  ,172.20.166.56  ,MD
5360567910214692  ,10.99.63.69    ,MA
676379105130      ,172.24.227.168 ,NY
2226325705465743  ,192.168.173.205,IN
30271492273314    ,192.168.173.52 ,DE
2221107080136296  ,192.168.101.227,OR
30233509832029    ,172.27.82.215  ,SD
567960343570      ,10.126.58.128  ,MA
676196250556      ,192.168.76.77  ,NJ
30269740281949    ,172.19.111.6   ,SD
676124694412      ,10.216.54.102  ,WY
675973934051      ,10.39.20.103   ,NJ
2224934375938582  ,10.58.26.188   ,IA
675907650617      ,10.130.78.208  ,UT
676394086992      ,192.168.6.252  ,WI
639019268346      ,192.168.166.63 ,WY
577344121865      ,192.168.90.207 ,IN
676161359044      ,10.162.188.87  ,WV
30212166831581    ,192.168.170.41 ,RI
30292336245052    ,192.168.200.25 ,NM
676290535118      ,192.168.237.20 ,CT
676113367400      ,172.25.112.15  ,FL
30335838991895    ,192.168.49.0   ,MI
574497218150      ,10.70.232.211  ,MS
567383841952      ,172.21.26.224  ,NJ
30262509363057    ,172.16.138.107 ,RI
5365417965316189  ,10.83.230.41   ,NC
2222482818634949  ,172.17.212.35  ,MO
30293428697770    ,192.168.11.216 ,OR
573662202809      ,10.166.143.16  ,NV
576096347157      ,10.22.28.149   ,NM
30209580978980    ,192.168.187.28 ,SC
5341461562410929  ,192.168.168.105,HI
30260241123094    ,10.7.44.88     ,RI
30243999786072    ,192.168.112.49 ,NJ
60427324888       ,10.22.21.72    ,AZ
676392480825      ,172.16.117.185 ,MD
575888427607      ,10.146.65.56   ,PA
2228065717808237  ,10.157.234.232 ,AK
2222941118426769  ,192.168.230.27 ,WV
30315774612325    ,172.28.31.152  ,TX
676308083366      ,10.205.92.17   ,WA
676347151869      ,10.113.73.71   ,ND
566254238223      ,10.94.154.194  ,RI
2221528400086715  ,172.19.147.217 ,VA
675970804562      ,172.24.10.33   ,WI
5366239358330794  ,10.8.70.127    ,OH
60493078657       ,172.18.108.93  ,KS
580617949061      ,192.168.165.225,MA
574723613273      ,10.105.227.177 ,DC
676205034066      ,10.178.26.245  ,VA
2223340082516367  ,172.31.192.205 ,CT
5390919797386214  ,172.29.61.131  ,ID
30331392627280    ,192.168.239.152,IA
60415111719       ,172.30.33.89   ,ND
676392054273      ,172.27.63.72   ,AZ
30350802625742    ,192.168.95.93  ,NJ
570979983667      ,172.20.246.207 ,WY
5366501823988914  ,10.186.183.121 ,AZ
565730953371      ,192.168.80.175 ,OR
630406704712      ,172.26.85.85   ,CA
581869683861      ,172.22.182.115 ,IN
579750070727      ,172.18.185.29  ,AZ
60405137385       ,10.59.204.65   ,NH
572524909775      ,192.168.14.162 ,MN
2221267097759066  ,172.28.12.208  ,NC
5330644051693310  ,10.200.137.10  ,GA
5357730503778425  ,10.138.127.8   ,OH
30350649360164    ,172.18.215.189 ,NC
575514830976      ,192.168.99.179 ,NV
5364427935852446  ,172.26.246.62  ,AR
2228459990207037  ,172.18.222.190 ,OK
563777602076      ,10.115.182.197 ,CT
5324696719235577  ,192.168.16.188 ,KS
639005885137      ,192.168.97.88  ,WV
60432228942       ,192.168.53.206 ,FL
639000626700      ,172.26.105.129 ,NM
676189348680      ,172.16.22.188  ,WY
676169087118      ,172.23.244.102 ,NV
630484566017      ,192.168.120.86 ,OH
676321784958      ,192.168.113.63 ,DE
676279521220      ,192.168.97.97  ,CA
2221243662132773  ,10.192.175.1   ,WI
639053906355      ,10.88.198.44   ,CO
30382850303997    ,10.161.145.22  ,MD
30286401910483    ,10.62.254.124  ,NC
630483395509      ,172.21.100.70  ,NY
676293678931      ,172.24.30.128  ,TN
30283293707945    ,172.25.236.228 ,OK
639069419294      ,10.66.231.75   ,NM
676106129973      ,10.58.215.113  ,CT
561557706588      ,10.153.124.191 ,NJ
2229148987621966  ,192.168.6.161  ,IL
581908804833      ,172.17.183.110 ,DC
60454849930       ,192.168.75.255 ,TX
30325510892917    ,192.168.18.57  ,NH
575707334414      ,172.17.168.249 ,HI
563357584215      ,192.168.198.139,DC
676231686319      ,172.19.165.109 ,ID
675944731727      ,10.8.14.13     ,AZ
2225988311851068  ,172.22.44.226  ,AR
630446147864      ,172.20.166.237 ,WY
639034168109      ,172.27.175.232 ,SD
630447557129      ,10.200.89.197  ,IN
676102446934      ,172.26.36.243  ,WA
30335590829069    ,192.168.10.189 ,CO
630449771207      ,10.79.56.133   ,OR
30326660456263    ,192.168.5.45   ,MA
560130435459      ,172.31.89.7    ,WA
30384052318740    ,10.105.156.79  ,IN
30312372300460    ,10.184.230.206 ,KS
583163190015      ,172.29.7.44    ,NH
630495379103      ,192.168.118.136,HI
587374744411      ,192.168.116.166,OH
675900790220      ,10.29.143.64   ,UT
676339372416      ,172.27.132.165 ,WA
60470301429       ,10.202.216.20  ,RI
676263459239      ,192.168.30.139 ,AR
30342837732932    ,192.168.229.231,MS
5385393240395379  ,172.16.34.253  ,CO
630426205898      ,172.28.17.174  ,NV
574854161381      ,192.168.111.114,MA
676394576265      ,172.17.18.187  ,OH
676167641965      ,172.16.152.137 ,MI
30277309305827    ,10.85.176.241  ,OR
639080470383      ,10.222.70.214  ,OH
639035942023      ,192.168.100.142,HI
2225285106044748  ,192.168.150.242,NJ
630419815141      ,10.141.144.240 ,AK
30237881503322    ,10.186.20.2    ,MI
561415364901      ,10.6.87.128    ,IA
5355449154462583  ,192.168.242.166,DC
60440684474       ,172.19.231.47  ,WV
676133580362      ,10.151.55.160  ,UT
639080634467      ,10.37.31.149   ,DE
675973720039      ,10.229.178.36  ,ID
676285838204      ,10.39.234.192  ,OR
676252865925      ,172.26.91.150  ,SC
2222252881310549  ,10.65.250.11   ,AL
30333837586642    ,172.21.8.156   ,ME
30306247754398    ,10.16.151.135  ,AK
5326584187825756  ,10.170.162.164 ,DC
639042611702      ,172.16.252.198 ,ME
579780385210      ,172.28.60.99   ,VA
5310267102602272  ,172.27.126.22  ,ND
563618147331      ,192.168.200.101,OR
675978534211      ,172.25.126.234 ,AL
675917903014      ,192.168.203.239,AL
60407042583       ,172.22.156.58  ,NV
676350556483      ,192.168.228.164,MI
630471103790      ,192.168.163.64 ,AK
675957353740      ,192.168.13.156 ,FL
2223538720820782  ,172.16.21.177  ,NY
30268934480036    ,10.247.89.154  ,CT
60414811723       ,10.173.249.189 ,KY
676243082747      ,192.168.244.133,CO
569675243467      ,10.110.164.234 ,OH
30301858319292    ,192.168.176.35 ,CA
630408259954      ,192.168.41.51  ,CO
2224954852507510  ,192.168.254.56 ,MT
578975305413      ,10.94.92.75    ,MI
5300553705475162  ,10.142.26.113  ,NC
30257558792750    ,172.17.37.14   ,MS
639026778436      ,172.16.237.189 ,VT
639083788526      ,172.26.130.255 ,KY
560774502879      ,192.168.56.162 ,OH
564570663208      ,192.168.71.48  ,NJ
630495449906      ,172.30.242.207 ,MT
676274667283      ,192.168.39.190 ,AR
676247737486      ,10.211.94.241  ,MD
630429453057      ,10.77.104.4    ,AZ
567413297092      ,172.21.69.137  ,NH
30376075419422    ,10.136.238.21  ,NH
2229568557880397  ,192.168.174.105,OK
30333210322839    ,172.19.197.193 ,MS
639067792338      ,10.17.38.57    ,OH
30244792309195    ,192.168.94.98  ,IN
675958190398      ,10.220.135.82  ,KS
583871884867      ,172.25.29.7    ,IA
676253332099      ,10.170.254.255 ,HI
639078872558      ,172.22.71.101  ,NM
585076093897      ,192.168.43.252 ,LA
676272773984      ,10.115.127.190 ,UT
568871604068      ,10.146.83.205  ,VT
5363772009189410  ,10.82.79.3     ,KS
639058591947      ,10.140.245.222 ,NC
676170473372      ,10.210.121.67  ,NM
2225303188300449  ,10.252.30.21   ,NJ
30249503175561    ,192.168.54.204 ,IL
30343757996531    ,172.17.202.82  ,TX
2224922472221598  ,192.168.225.170,AR
579270175824      ,192.168.178.65 ,FL
639099878394      ,192.168.191.205,DC
676374644208      ,172.24.109.97  ,VA
566949250229      ,192.168.22.136 ,WY
675972561517      ,172.19.91.194  ,OR
60470300587       ,172.20.240.72  ,OR
676304302240      ,172.28.3.78    ,TN
30316867539904    ,10.12.151.212  ,NJ
30343900535236    ,192.168.34.128 ,ND
675942455295      ,172.23.83.225  ,NM
676106464701      ,192.168.191.49 ,KY
630408923161      ,10.131.198.16  ,NE
2227623844374282  ,192.168.8.208  ,SC
5323490949642260  ,10.176.72.156  ,AL
5385168808180128  ,172.30.120.119 ,TN
676333063326      ,192.168.219.3  ,TX
576323764091      ,192.168.118.181,OH
676397623379      ,172.28.160.115 ,IN
30283458735053    ,192.168.102.134,TX
676322842250      ,172.31.73.82   ,ME
676209859260      ,10.54.71.248   ,MN
30363722773062    ,172.16.127.91  ,MT
676220295973      ,172.17.26.225  ,HI
60437286457       ,192.168.37.146 ,WA
639092684831      ,172.30.82.186  ,MT
630424347346      ,10.99.219.232  ,MA
676391504062      ,10.65.161.244  ,AL
2224431542958965  ,172.16.132.253 ,TN
5309037748487500  ,192.168.99.122 ,VT
5321398064444515  ,172.23.113.236 ,GA
639041295762      ,10.137.242.38  ,SC
563428451162      ,192.168.217.196,CO
30318038747119    ,172.29.210.242 ,NE
675948864151      ,10.143.195.18  ,WY
578622049620      ,172.26.218.105 ,DE
676142528444      ,172.29.202.196 ,IL
562180553637      ,172.31.166.21  ,NM
676193001556      ,192.168.21.34  ,TN
676265181633      ,172.25.226.225 ,ID
575847123099      ,192.168.120.152,AK
5302345816646411  ,10.204.213.173 ,MD
676397155810      ,192.168.164.216,WI
2229491227298793  ,10.131.96.25   ,MI
676355088037      ,172.31.172.175 ,OH
2223205038305928  ,192.168.221.38 ,NH
30299948280468    ,10.85.221.177  ,UT
675996015946      ,172.16.232.11  ,HI
30284825871019    ,192.168.113.39 ,ME
5392780273159832  ,172.18.182.104 ,MA
676307882024      ,10.56.12.43    ,FL
575474288454      ,10.192.2.70    ,AR
675986162443      ,10.202.240.181 ,ND
676328380875      ,192.168.252.22 ,OK
676158155512      ,10.54.42.144   ,NY
5372894857479344  ,172.30.159.50  ,VA
676290633053      ,172.17.196.45  ,KY
2228434453318589  ,10.46.51.19    ,OK
5370366501113076  ,192.168.207.98 ,AL
676255462357      ,192.168.12.245 ,IA
30309717159056    ,10.70.184.150  ,RI
5344642038225341  ,172.22.228.97  ,IA
579457378720      ,10.137.45.107  ,LA
2229262986020151  ,192.168.183.24 ,FL
30391641046708    ,192.168.235.202,WA
571805200235      ,10.70.158.249  ,MD
639049826022      ,10.110.13.223  ,WV
630496977624      ,192.168.206.86 ,CO
675905136254      ,192.168.29.203 ,ND
676343126618      ,192.168.107.241,MD
30235662826490    ,172.29.179.52  ,RI
30283013864950    ,172.19.156.157 ,TX
584671012741      ,10.44.146.228  ,IA
585147373534      ,172.20.56.172  ,OK
675939268735      ,192.168.123.121,IL
567008476648      ,172.20.180.190 ,AZ
5346934656069905  ,192.168.101.193,GA
676171449090      ,192.168.246.49 ,SD
675901857085      ,192.168.213.153,VT
676203308199      ,10.3.196.0     ,UT
676166632692      ,172.28.93.127  ,WI
572082282482      ,192.168.194.59 ,WV
676356340304      ,10.136.218.188 ,CT
587723794802      ,10.171.103.18  ,WA
639096659706      ,10.102.190.243 ,KY
676174285780      ,192.168.184.21 ,VT
568272525029      ,192.168.14.211 ,ND
2223039240409602  ,172.17.13.221  ,RI
639039457259      ,172.18.85.131  ,KS
573494786037      ,192.168.249.232,OH
30211216995776    ,192.168.27.39  ,TN
2226982873346079  ,172.25.108.134 ,NJ
5315075064742548  ,172.19.242.51  ,ND
2227392687792071  ,192.168.22.117 ,CT
676327045784      ,172.28.149.176 ,IA
30243244033445    ,192.168.98.153 ,AZ
2224886295033540  ,10.190.158.117 ,NE
30378857040012    ,10.242.242.101 ,GA
639011340366      ,192.168.18.58  ,TX
2229849454725236  ,172.23.27.200  ,WV
566456580851      ,10.146.167.242 ,RI
60438653143       ,192.168.58.1   ,WV
2224484326500776  ,10.193.31.162  ,RI
676258981825      ,10.35.242.248  ,AZ
675985492585      ,10.230.242.146 ,OR
577298806107      ,10.30.191.118  ,VT
30218062619285    ,172.24.246.121 ,ND
630461700068      ,172.19.149.225 ,GA
676107426527      ,192.168.241.80 ,OR
5391232091603956  ,10.203.247.74  ,ID
676201940092      ,10.171.162.157 ,AK
2226160822980286  ,10.21.134.82   ,TN
675917367160      ,192.168.78.68  ,FL
5338390486635862  ,172.20.77.41   ,NH
587889932022      ,172.24.27.139  ,ME
5321886462317119  ,192.168.148.96 ,SD
588546757554      ,172.19.243.61  ,AL
5320708454874835  ,172.31.3.16    ,CT
5384843411671348  ,10.2.166.227   ,ME
567239309162      ,192.168.181.30 ,VA
